date,n,ic,alpha,top5_mean_ret,universe_mean_ret,momentum_ic
2024-01-10,492,0.09584342233824837,0.535351037979126,0.6057616472244263,0.07041063904762268,0.16153545191772792
2024-01-25,492,0.020897804975785885,0.41473469138145447,0.4593028128147125,0.044568125158548355,-0.029905034800958383
2024-02-08,492,0.0592681828546348,0.17029769718647003,0.2271888256072998,0.05689112842082977,-0.1145016369957307
2024-02-23,492,0.04908841006216584,0.3128948211669922,0.34535279870033264,0.03245796263217926,-0.03638853138716257
2024-03-08,492,0.04127286758546934,0.00783073715865612,0.01768796518445015,0.00985722802579403,-0.07326343081618644
2024-03-22,492,0.0003704941557746053,0.020943978801369667,0.0328235924243927,0.011879613623023033,-0.05909991382005672
2024-04-08,492,0.05896862366912544,0.0405007004737854,0.04326333478093147,0.0027626354712992907,0.015183106433791728
2024-04-22,492,0.16827447561272849,0.16048753261566162,0.2334578037261963,0.07297026365995407,0.0803744600654758
2024-05-06,492,-0.21675217991526696,-0.0447302982211113,-0.030452465638518333,0.014277833513915539,-0.20167023642202397
2024-05-20,492,-0.11199321926170602,-0.058726824820041656,-0.023019129410386086,0.03570769354701042,-0.06811641355611617
2024-06-04,492,-0.1439196991954221,-0.17322799563407898,-0.10951342433691025,0.06371457874774933,-0.1571321434865324
2024-06-18,492,-0.04975695200493563,-0.14323073625564575,-0.0688968151807785,0.07433391362428665,-0.22601251861161317
2024-07-03,492,0.07863211985833561,-0.11262419819831848,-0.02067558839917183,0.09194861352443695,-0.13028396256044208
2024-07-18,492,0.0577378414790828,-0.10045210272073746,-0.021550381556153297,0.07890172302722931,0.051736984818404955
2024-08-01,492,0.12732796934641988,0.0971982479095459,0.1592070758342743,0.062008827924728394,0.1090692676961843
2024-08-15,492,0.0664705005741803,0.235198974609375,0.33066827058792114,0.09546928852796555,0.009174894300344912
2024-08-29,492,0.06918678598385443,0.3451894521713257,0.4370853006839752,0.09189583361148834,0.04384617469570258
2024-09-13,492,0.2607312569203159,0.29248708486557007,0.3597445785999298,0.06725749373435974,-0.08778786977750097
2024-09-27,492,0.07683758602250594,0.12468737363815308,0.12956957519054413,0.004882203880697489,0.06918910346157617
2024-10-11,492,0.02451115578357297,0.1879064291715622,0.17833366990089417,-0.009572760201990604,0.11765794089283145
2024-10-25,492,0.04738173885996016,-0.04442426189780235,-0.015490996651351452,0.028933266177773476,0.16012541786390422
2024-11-08,492,-0.06695515569772553,0.2109614461660385,0.20017537474632263,-0.010786069557070732,0.19758794903523905
2024-11-22,492,-0.10169958778116925,-0.010842598974704742,-0.04461853578686714,-0.0337759368121624,-0.0010494143683417228
2024-12-09,492,-0.1372535249088047,-0.05848684161901474,-0.1382913887500763,-0.07980454713106155,-0.19940847892551253
2024-12-23,492,-0.22476541331761749,-0.10822786390781403,-0.1152871698141098,-0.007059304043650627,-0.15263311314943914
